,2015,2016,2017,2018,2019
Angola,137.0,141.0,140.0,142.0,
Belize,,52.0,50.0,49.0,
Central African Republic,148.0,,155.0,155.0,155.0
Comoros,140.0,138.0,,,142.0
Djibouti,126.0,,,,
Gambia,,,,,120.0
Laos,99.0,102.0,,110.0,105.0
Lesotho,97.0,,139.0,141.0,144.0
Mozambique,94.0,,113.0,123.0,123.0
Namibia,,113.0,111.0,119.0,113.0
Oman,22.0,,,,
Puerto Rico,,15.0,,,
Somalia,,76.0,93.0,98.0,112.0
Somaliland Region,91.0,97.0,,,
South Sudan,,143.0,147.0,154.0,156.0
Sudan,118.0,133.0,130.0,137.0,
Suriname,40.0,40.0,,,
Swaziland,101.0,,,,135.0
